epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.2963,0.97399,1.51205,1.92284,1.00878,0.97111,0.58309,0.83424,0.6324,0.97111,0.58309,0.83436,0.62292,0.90598,1.1229,2.09139,0.9202,0.000469896,0.000469896,0.000469896
2,102.616,0.87825,1.18187,1.00088,0.98392,0.87032,0.81107,0.88041,0.70451,0.86763,0.80822,0.87958,0.66356,0.79748,1.10173,0.91576,0.92421,0.000946127,0.000946127,0.000946127
3,149.123,0.89257,1.1844,0.89241,0.97162,0.90675,0.83532,0.89414,0.71623,0.90567,0.83419,0.89211,0.67531,0.78971,1.08634,0.88875,0.91928,0.00142195,0.00142195,0.00142195
4,195.566,0.88373,1.15496,0.8132,0.97426,0.93202,0.8991,0.9539,0.74091,0.93262,0.89967,0.95131,0.71838,0.81532,1.01122,0.75968,0.90706,0.0014276,0.0014276,0.0014276
5,241.172,0.83396,1.0528,0.78953,0.94793,0.91908,0.8526,0.90095,0.72184,0.91908,0.8526,0.90138,0.68301,0.72852,1.02671,0.79813,0.90038,0.00142652,0.00142652,0.00142652
6,287.197,0.82956,1.10252,0.73315,0.95296,0.9484,0.89611,0.96049,0.78504,0.93381,0.90762,0.96133,0.74076,0.74144,1.0206,0.70245,0.89105,0.00142513,0.00142513,0.00142513
7,333.304,0.82474,1.06189,0.66038,0.9444,0.93236,0.92158,0.9327,0.78146,0.93095,0.92011,0.93297,0.72806,0.72621,1.04993,0.59169,0.89676,0.00142342,0.00142342,0.00142342
8,379.199,0.78519,1.03391,0.64155,0.93337,0.97478,0.92656,0.97137,0.79516,0.97478,0.92656,0.96828,0.74913,0.7388,0.99782,0.55886,0.89344,0.00142141,0.00142141,0.00142141
9,425.038,0.77457,1.0267,0.58963,0.92631,0.95721,0.95072,0.98434,0.82827,0.96043,0.95093,0.98473,0.78827,0.67641,0.95395,0.49506,0.87211,0.00141909,0.00141909,0.00141909
10,470.146,0.76333,0.9948,0.54876,0.9151,0.96563,0.92269,0.96168,0.81352,0.96563,0.92269,0.96055,0.76607,0.71394,0.98779,0.52448,0.88404,0.00141647,0.00141647,0.00141647
11,515.024,0.73257,0.97113,0.50853,0.90462,0.94836,0.93388,0.97208,0.82042,0.94861,0.93441,0.97195,0.76851,0.6885,0.94771,0.49436,0.87488,0.00141354,0.00141354,0.00141354
12,559.841,0.72925,0.96032,0.49761,0.90447,0.92017,0.84139,0.91781,0.76743,0.92017,0.84139,0.91781,0.73885,0.71171,0.99897,0.58336,0.88733,0.00141031,0.00141031,0.00141031
13,605.759,0.73923,0.97573,0.49718,0.90753,0.93212,0.91932,0.95992,0.80691,0.93184,0.91904,0.9647,0.74893,0.67879,0.96385,0.50073,0.87196,0.00140678,0.00140678,0.00140678
