epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.1086,0.8746,1.32919,1.10575,0.98321,0.90177,0.9019,0.94465,0.72462,0.90722,0.89472,0.93791,0.61663,0.89187,1.5422,0.80293,0.94039,0.000471473,0.000471473,0.000471473
2,112.312,0.87505,1.18083,0.84316,0.98027,0.83847,0.89571,0.93297,0.71561,0.84017,0.90282,0.94091,0.70994,0.80416,1.04782,0.65057,0.9223,0.000947703,0.000947703,0.000947703
3,165.002,0.89825,1.17791,0.77036,0.97952,0.89756,0.86237,0.91967,0.73719,0.89727,0.86209,0.9121,0.69615,0.80378,1.13438,0.70067,0.9198,0.00142352,0.00142352,0.00142352
4,217.155,0.95669,1.2403,0.76574,1.0062,0.91322,0.90378,0.93971,0.72401,0.89927,0.88731,0.91827,0.62275,0.82372,1.20469,0.64304,0.92985,0.0014276,0.0014276,0.0014276
5,270.54,0.90426,1.16829,0.70216,0.99307,0.93698,0.89524,0.95977,0.76021,0.93138,0.88996,0.95276,0.74202,0.8016,1.05173,0.62091,0.9113,0.00142652,0.00142652,0.00142652
6,324.652,0.87765,1.11998,0.64378,0.97457,0.92595,0.90922,0.94901,0.77662,0.94317,0.88277,0.94185,0.74556,0.76561,1.02463,0.59421,0.8983,0.00142513,0.00142513,0.00142513
7,376.956,0.84457,1.11366,0.64854,0.96237,0.91787,0.93915,0.96891,0.76807,0.9148,0.93602,0.95996,0.7574,0.76165,1.07197,0.58664,0.89785,0.00142342,0.00142342,0.00142342
8,430.399,0.80046,1.0612,0.56899,0.94113,0.96928,0.95039,0.9869,0.83656,0.96928,0.95039,0.98671,0.79191,0.72663,0.96562,0.50855,0.88043,0.00142141,0.00142141,0.00142141
9,484.533,0.80982,1.05705,0.53155,0.93324,0.96052,0.9526,0.98051,0.82568,0.96631,0.94119,0.97429,0.78322,0.74284,1.02691,0.4797,0.88718,0.00141909,0.00141909,0.00141909
10,536.713,0.79348,1.03323,0.48864,0.92707,0.91975,0.93965,0.98425,0.82447,0.91969,0.93905,0.98418,0.78677,0.74361,0.97233,0.4779,0.88022,0.00141647,0.00141647,0.00141647
11,590.458,0.76974,1.00766,0.49473,0.91758,0.97186,0.92282,0.97613,0.83932,0.97164,0.92251,0.97601,0.79469,0.68655,0.95464,0.47582,0.86534,0.00141354,0.00141354,0.00141354
12,644.599,0.77475,1.01534,0.47678,0.92005,0.96965,0.93247,0.9762,0.82627,0.96994,0.93275,0.97479,0.79342,0.75197,0.95957,0.4914,0.87744,0.00141031,0.00141031,0.00141031
13,697.236,0.80284,1.03214,0.4977,0.93507,0.94757,0.92798,0.96488,0.82448,0.94403,0.92456,0.96411,0.77729,0.70444,0.99475,0.50728,0.87824,0.00140678,0.00140678,0.00140678
14,750.775,0.75301,0.97382,0.45961,0.90722,0.94905,0.97179,0.97958,0.8496,0.94622,0.96894,0.97831,0.80485,0.68882,0.93453,0.49241,0.86297,0.00140294,0.00140294,0.00140294
15,804.194,0.73387,0.95425,0.4583,0.90251,0.98212,0.92894,0.98367,0.85389,0.98212,0.92894,0.9818,0.81899,0.67241,0.91532,0.43718,0.86263,0.00139881,0.00139881,0.00139881
16,857.672,0.72768,0.94224,0.44679,0.906,0.96538,0.96621,0.98812,0.86389,0.96569,0.96607,0.98808,0.82257,0.67509,0.9103,0.42811,0.8655,0.00139438,0.00139438,0.00139438
17,910.213,0.72965,0.92915,0.44547,0.90115,0.92525,0.92282,0.9766,0.82619,0.92257,0.91969,0.97585,0.79643,0.71685,0.90206,0.48657,0.87522,0.00138965,0.00138965,0.00138965
18,964.229,0.71752,0.94793,0.41739,0.89673,0.98781,0.99029,0.99329,0.86382,0.98724,0.98973,0.99317,0.82492,0.67319,0.90656,0.3957,0.85907,0.00138464,0.00138464,0.00138464
19,1017.68,0.74245,0.94503,0.43197,0.90475,0.9453,0.89594,0.94502,0.80808,0.94954,0.89056,0.94122,0.756,0.70715,0.98699,0.53648,0.86928,0.00137933,0.00137933,0.00137933
20,1070.44,0.70131,0.916,0.4116,0.89622,0.9592,0.9448,0.96804,0.84334,0.9592,0.9448,0.96809,0.7967,0.66968,0.99087,0.46559,0.86203,0.00137373,0.00137373,0.00137373
21,1123.31,0.69441,0.91024,0.40217,0.88821,0.94838,0.96386,0.98402,0.86197,0.94571,0.9633,0.98325,0.82574,0.65366,0.95428,0.43753,0.85798,0.00136785,0.00136785,0.00136785
22,1176.31,0.69075,0.91476,0.40325,0.88557,0.96428,0.96477,0.98711,0.86233,0.96412,0.96391,0.98688,0.82391,0.67585,0.90178,0.42683,0.86178,0.00136168,0.00136168,0.00136168
23,1229.09,0.67234,0.88782,0.38535,0.88472,0.97363,0.9712,0.98958,0.86771,0.97363,0.9712,0.98958,0.83276,0.64789,0.88551,0.40245,0.85185,0.00135523,0.00135523,0.00135523
24,1281.95,0.6704,0.88812,0.38302,0.88085,0.98427,0.97372,0.99248,0.87493,0.98237,0.9649,0.98912,0.83923,0.64246,0.90402,0.38274,0.85281,0.00134851,0.00134851,0.00134851
25,1335.18,0.69741,0.89932,0.38956,0.88781,0.9534,0.95139,0.98079,0.85349,0.9534,0.95139,0.98088,0.82361,0.69857,0.91659,0.45481,0.86824,0.0013415,0.0013415,0.0013415
26,1387.36,0.68753,0.8688,0.39942,0.89034,0.92942,0.93797,0.95787,0.83444,0.92942,0.93797,0.95967,0.80043,0.68546,0.90686,0.50255,0.86181,0.00133423,0.00133423,0.00133423
27,1440.42,0.69465,0.91379,0.39623,0.89153,0.96871,0.94288,0.9759,0.85224,0.96871,0.94288,0.97731,0.8144,0.68254,0.92372,0.41773,0.86602,0.00132669,0.00132669,0.00132669
